강인한, 95, 89, 87, 90, 361, 90.25, A
장윤아, 90, 91, 93, 89, 363, 90.75, A
김수영, 76, 87, 89, 79, 331, 82.75, B
민효연, 92, 91, 87, 77, 347, 86.75, B+
성유리, 87, 90, 78, 70, 325, 81.25, B
한태연, 88, 77, 68, 78, 311, 77.75, C+
곽서현, 88, 99, 66, 77, 330, 82.50, B
박규리, 79, 87, 97, 99, 362, 90.50, A
강지영, 67, 69, 79, 78, 293, 73.25, C
한지영, 98, 78, 97, 88, 361, 90.25, A
한준수, 57, 67, 65, 76, 265, 66.25, D+
홍준호, 78, 73, 69, 79, 299, 74.75, C
임찬성, 68, 78, 67, 65, 278, 69.50, D+
강우영, 80, 90, 89, 77, 336, 84.00, B
박택훈, 47, 65, 55, 67, 234, 58.50, F
조성권, 76, 56, 67, 87, 286, 71.50, C
이창훈, 88, 89, 85, 92, 354, 88.50, B+
정진석, 89, 90, 78, 80, 337, 84.25, B
정운태, 91, 93, 89, 90, 363, 90.75, A
홍민수, 89, 99, 87, 93, 368, 92.00, A
